BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2014-11-12,ГАЗПРОМ ао,GAZP,30450,4553731581.4,144.14,143.0,145.6,143.57,144.17,143.57,31585430,144.17,144.17,144.17,4552627469.0,4552627469.0,4552627469.0,
TQBR,2014-11-13,ГАЗПРОМ ао,GAZP,33017,4885752510.0,143.7,141.51,144.45,141.84,142.93,141.84,34181920,142.93,142.93,142.93,4885603062.0,4885603062.0,4885603062.0,
TQBR,2014-11-14,ГАЗПРОМ ао,GAZP,35183,4971456441.6,141.5,141.0,143.35,142.49,142.16,142.49,34971670,142.16,142.16,142.16,4970206996.6,4970206996.6,4970206996.6,
TQBR,2014-11-17,ГАЗПРОМ ао,GAZP,23708,3066044183.3,142.47,141.91,143.48,142.67,142.78,142.67,21473850,142.78,142.78,142.78,3064766227.4,3064766227.4,3064766227.4,
TQBR,2014-11-18,ГАЗПРОМ ао,GAZP,32542,4308641777.0,143.1,141.53,144.01,143.2,142.69,143.2,30196660,142.69,142.69,142.69,4303080911.0,4303080911.0,4303080911.0,
TQBR,2014-11-19,ГАЗПРОМ ао,GAZP,21733,2908010462.1,143.21,142.67,144.38,143.98,143.78,143.98,20225140,143.78,143.78,143.78,2907271498.5,2907271498.5,2907271498.5,
TQBR,2014-11-20,ГАЗПРОМ ао,GAZP,30399,4582322287.3,144.22,143.22,145.11,144.48,144.31,144.48,31754200,144.31,144.31,144.31,4577361119.3,4577361119.3,4577361119.3,
TQBR,2014-11-21,ГАЗПРОМ ао,GAZP,37317,4949911809.3,144.51,143.61,145.99,145.01,144.96,145.01,34146350,144.96,144.96,144.96,4946950799.4,4946950799.4,4946950799.4,
TQBR,2014-11-24,ГАЗПРОМ ао,GAZP,29385,4276581273.5,145.76,143.82,146.0,144.7,144.68,144.7,29558390,144.68,144.68,144.68,4274336569.5,4274336569.5,4274336569.5,
TQBR,2014-11-25,ГАЗПРОМ ао,GAZP,24510,3691973028.6,144.5,143.59,145.39,144.13,144.53,144.13,25545000,144.53,144.53,144.53,3690791018.6,3690791018.6,3690791018.6,
TQBR,2014-11-26,ГАЗПРОМ ао,GAZP,27595,3999680716.1,144.0,143.68,145.5,145.5,144.48,145.5,27683500,144.48,144.48,144.48,3995524876.1,3995524876.1,3995524876.1,
TQBR,2014-11-27,ГАЗПРОМ ао,GAZP,39740,6431856824.4,145.33,143.12,145.89,143.19,145.1,143.19,44326410,145.1,145.1,145.1,6431290037.4,6431290037.4,6431290037.4,
TQBR,2014-11-28,ГАЗПРОМ ао,GAZP,44386,6254217126.9,143.0,142.0,144.2,142.86,143.37,142.86,43623690,143.37,143.37,143.37,6234330116.9,6234330116.9,6234330116.9,
TQBR,2014-12-01,ГАЗПРОМ ао,GAZP,64603,10783455129.2,142.4,142.37,146.12,144.1,144.7,144.1,74522900,144.7,144.7,144.7,10777601065.2,10777601065.2,10777601065.2,
TQBR,2014-12-02,ГАЗПРОМ ао,GAZP,46889,6481392809.7,144.41,143.55,146.41,144.91,145.0,144.91,44697870,145.01,145.01,145.01,6471861749.7,6471861749.7,6471861749.7,
TQBR,2014-12-03,ГАЗПРОМ ао,GAZP,49198,7048084179.9,145.53,144.42,146.4,146.23,145.41,146.23,48469440,145.41,145.41,145.41,7046027841.0,7046027841.0,7046027841.0,
