,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
496,TQBR,2015-03-18,Сбербанк,SBER,70384,7071390466.0,64.9,64.73,66.05,65.26,65.34,65.26,108223320,65.34,65.34,65.34,7058351407.0,7058351407.0,7058351407.0,
497,TQBR,2015-03-19,Сбербанк,SBER,66785,8180816209.3,66.5,64.45,66.88,64.9,65.79,64.9,124342050,65.79,65.79,65.79,8151264274.3,8151264274.3,8151264274.3,
498,TQBR,2015-03-20,Сбербанк,SBER,85077,9769549263.8,64.95,64.4,67.22,67.0,66.07,67.0,147872150,66.07,66.07,66.07,9766242009.8,9766242009.8,9766242009.8,
499,TQBR,2015-03-23,Сбербанк,SBER,72879,8686117775.5,67.6,64.83,67.6,65.0,66.07,65.0,131474510,66.07,66.07,66.07,8678744643.5,8678744643.5,8678744643.5,
500,TQBR,2015-03-24,Сбербанк,SBER,72334,7961369580.2,65.0,63.74,66.36,65.6,65.29,65.6,121944620,65.29,65.29,65.29,7956711680.2,7956711680.2,7956711680.2,
501,TQBR,2015-03-25,Сбербанк,SBER,81378,6367760928.0,65.85,64.31,66.15,64.8,65.1,64.8,97814600,65.1,65.1,65.1,6362325010.5,6362325010.5,6362325010.5,
502,TQBR,2015-03-26,Сбербанк,SBER,97910,9492165288.1,65.43,62.62,65.8,62.85,64.04,62.85,148212490,64.04,64.04,64.04,9480659422.6,9480659422.6,9480659422.6,
503,TQBR,2015-03-27,Сбербанк,SBER,96109,9769443845.8,63.2,60.57,63.55,61.0,61.94,61.0,157726010,61.94,61.94,61.94,9767458733.8,9767458733.8,9767458733.8,
504,TQBR,2015-03-30,Сбербанк,SBER,86577,7561345446.3,60.81,60.67,63.17,63.01,62.19,63.01,121585170,62.19,62.19,62.19,7558748859.3,7558748859.3,7558748859.3,
505,TQBR,2015-03-31,Сбербанк,SBER,85876,7109578273.7,63.0,61.92,63.4,62.88,62.53,62.88,113703370,62.53,62.53,62.53,7104901153.7,7104901153.7,7104901153.7,
506,TQBR,2015-04-01,Сбербанк,SBER,98035,10287783241.6,62.34,62.18,64.69,64.5,63.85,64.5,161132260,63.85,63.85,63.85,10282776716.2,10282776716.2,10282776716.2,
507,TQBR,2015-04-02,Сбербанк,SBER,76856,9015854137.5,64.6,64.03,66.17,65.92,65.1,65.92,138482010,65.11,65.11,65.11,9013243651.5,9013243651.5,9013243651.5,
508,TQBR,2015-04-03,Сбербанк,SBER,52945,5628272228.4,65.92,65.16,66.4,65.5,65.76,65.5,85588420,65.76,65.76,65.76,5625589284.4,5625589284.4,5625589284.4,
509,TQBR,2015-04-06,Сбербанк,SBER,91425,9189715221.3,65.65,65.57,68.99,68.99,67.02,68.99,137120690,67.02,67.02,67.02,9179693092.3,9179693092.3,9179693092.3,
510,TQBR,2015-04-07,Сбербанк,SBER,127365,15558188707.2,68.85,68.15,70.27,69.6,69.23,69.6,224738420,69.23,69.23,69.23,15539134469.7,15539134469.7,15539134469.7,
511,TQBR,2015-04-08,Сбербанк,SBER,70298,8607751973.0,69.42,68.61,69.93,69.4,69.25,69.4,124300110,69.25,69.25,69.25,8604664171.4,8604664171.4,8604664171.4,
512,TQBR,2015-04-09,Сбербанк,SBER,100659,13305492636.9,69.03,68.96,72.0,72.0,70.78,72.0,187982850,70.78,70.78,70.78,13299440776.8,13299440776.8,13299440776.8,
513,TQBR,2015-04-10,Сбербанк,SBER,96103,10257743884.2,72.15,70.23,72.45,71.5,71.25,71.5,143967740,71.25,71.25,71.25,10255135661.7,10255135661.7,10255135661.7,
514,TQBR,2015-04-13,Сбербанк,SBER,91502,12118520801.3,71.89,71.43,74.55,74.1,73.39,74.1,165129570,73.39,73.39,73.39,12114395034.2,12114395034.2,12114395034.2,
515,TQBR,2015-04-14,Сбербанк,SBER,84006,10002445261.0,74.1,72.89,74.82,74.05,73.85,74.05,135451730,73.84,73.84,73.84,9998211187.0,9998211187.0,9998211187.0,
516,TQBR,2015-04-15,Сбербанк,SBER,81989,11553766254.9,74.15,73.91,76.49,76.49,75.1,76.49,153846180,75.1,75.1,75.1,11550233007.4,11550233007.4,11550233007.4,
517,TQBR,2015-04-16,Сбербанк,SBER,102151,13500567052.1,76.97,74.85,77.51,76.5,76.37,76.5,176773010,76.37,76.37,76.37,13469199468.0,13469199468.0,13469199468.0,
518,TQBR,2015-04-17,Сбербанк,SBER,102198,11754378578.0,76.64,72.5,76.96,72.5,74.71,72.5,157337590,74.71,74.71,74.71,11751006418.0,11751006418.0,11751006418.0,
519,TQBR,2015-04-20,Сбербанк,SBER,98255,11465881118.1,72.5,71.22,74.07,73.5,72.62,73.5,157896000,72.62,72.62,72.62,11460156518.1,11460156518.1,11460156518.1,
520,TQBR,2015-04-21,Сбербанк,SBER,109325,11716879112.3,73.66,73.26,75.67,75.24,74.33,75.24,157633660,74.33,74.33,74.33,11715906800.3,11715906800.3,11715906800.3,
521,TQBR,2015-04-22,Сбербанк,SBER,99015,10658569420.3,75.2,72.63,75.33,73.9,74.07,73.9,143896300,74.07,74.07,74.07,10654489820.3,10654489820.3,10654489820.3,
522,TQBR,2015-04-23,Сбербанк,SBER,133455,14341518309.3,74.0,72.11,76.57,75.8,74.35,75.8,192895230,74.35,74.35,74.35,14336520349.3,14336520349.3,14336520349.3,
523,TQBR,2015-04-24,Сбербанк,SBER,106105,11841055983.5,75.7,74.89,77.7,75.75,76.33,75.75,155138110,76.33,76.33,76.33,11839083998.5,11839083998.5,11839083998.5,
524,TQBR,2015-04-27,Сбербанк,SBER,107021,9552112172.9,76.12,74.58,76.86,75.2,75.62,75.2,126319130,75.62,75.62,75.62,9548165350.9,9548165350.9,9548165350.9,
525,TQBR,2015-04-28,Сбербанк,SBER,80604,7420290830.3,74.8,73.9,75.75,75.7,74.79,75.7,99218180,74.79,74.79,74.79,7413872242.3,7413872242.3,7413872242.3,
526,TQBR,2015-04-29,Сбербанк,SBER,73437,6589908899.1,75.6,74.68,76.27,75.2,75.62,75.2,87147120,75.62,75.62,75.62,6587708939.1,6587708939.1,6587708939.1,
527,TQBR,2015-04-30,Сбербанк,SBER,77491,8001641723.0,75.11,74.97,76.96,76.9,76.18,76.9,105036540,76.18,76.18,76.18,8000011836.0,8000011836.0,8000011836.0,
528,TQBR,2015-05-05,Сбербанк,SBER,127783,10786919266.1,77.2,76.8,80.6,80.21,78.98,80.21,136570620,78.99,78.99,78.99,10776353674.1,10776353674.1,10776353674.1,
529,TQBR,2015-05-06,Сбербанк,SBER,92203,8790897464.3,80.36,78.64,80.98,79.2,79.67,79.2,110343180,79.67,79.67,79.67,8788977663.9,8788977663.9,8788977663.9,
530,TQBR,2015-05-07,Сбербанк,SBER,85021,8631254510.1,78.85,75.97,78.89,76.5,77.21,76.5,111790370,77.21,77.21,77.21,8629202044.6,8629202044.6,8629202044.6,
531,TQBR,2015-05-08,Сбербанк,SBER,86926,8296346648.5,76.3,75.07,76.67,75.5,75.72,75.5,109570490,75.72,75.72,75.72,8295304390.5,8295304390.5,8295304390.5,
532,TQBR,2015-05-12,Сбербанк,SBER,78138,7522013545.9,75.5,74.33,76.7,75.19,75.53,75.19,99583780,75.53,75.53,75.53,7516059615.9,7516059615.9,7516059615.9,
533,TQBR,2015-05-13,Сбербанк,SBER,72810,8181617263.1,75.42,74.7,76.07,75.24,75.5,75.24,108370700,75.5,75.5,75.5,8175658328.9,8175658328.9,8175658328.9,
534,TQBR,2015-05-14,Сбербанк,SBER,74021,6695102749.4,75.04,73.6,75.35,74.31,74.43,74.31,89950110,74.43,74.43,74.43,6693207239.0,6693207239.0,6693207239.0,
535,TQBR,2015-05-15,Сбербанк,SBER,48495,4950211145.0,74.51,73.74,75.18,75.05,74.52,75.05,66428900,74.52,74.52,74.52,4948422905.0,4948422905.0,4948422905.0,
536,TQBR,2015-05-18,Сбербанк,SBER,62021,6901311199.4,75.49,75.09,76.05,75.36,75.63,75.36,91255640,75.63,75.63,75.63,6896042752.3,6896042752.3,6896042752.3,
537,TQBR,2015-05-19,Сбербанк,SBER,63431,7035385025.8,75.35,73.03,75.35,73.35,73.96,73.35,95117880,73.96,73.96,73.96,7028301372.3,7028301372.3,7028301372.3,
538,TQBR,2015-05-20,Сбербанк,SBER,89960,8031173145.8,73.24,71.41,73.58,71.6,72.15,71.6,111312700,72.15,72.15,72.15,8027944726.6,8027944726.6,8027944726.6,
539,TQBR,2015-05-21,Сбербанк,SBER,78636,7130404576.0,71.77,71.15,73.59,73.25,72.31,73.25,98610820,72.31,72.31,72.31,7129699076.9,7129699076.9,7129699076.9,
