,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
121,TQBR,2019-06-28,МосБиржа,MOEX,17792,605345390.5,89.7,89.45,90.15,90.15,89.91,90.15,6732560,89.91,89.91,90.15,605345390.5,605345390.5,605345390.5,
122,TQBR,2019-07-01,МосБиржа,MOEX,19822,633639712.4,90.5,90.02,90.9,90.9,90.6,90.9,6994010,90.6,90.6,90.9,633639712.4,633639712.4,633639712.4,
123,TQBR,2019-07-02,МосБиржа,MOEX,30146,1239803505.3,90.9,90.4,91.98,91.98,91.66,91.98,13527410,91.65,91.65,91.98,1239803505.3,1239803505.3,1239803505.3,
124,TQBR,2019-07-03,МосБиржа,MOEX,23013,1177728262.8,92.18,91.7,92.98,92.7,92.53,92.7,12729050,92.52,92.52,92.7,1177728262.8,1177728262.8,1177728262.8,
125,TQBR,2019-07-04,МосБиржа,MOEX,23267,1397286141.7,92.92,92.21,94.32,94.3,93.44,94.3,14953260,93.44,93.44,94.3,1397286141.7,1397286141.7,1397286141.7,
126,TQBR,2019-07-05,МосБиржа,MOEX,25945,1457468332.4,94.4,93.85,95.99,95.3,94.92,95.3,15355020,94.92,94.92,95.3,1457468332.4,1457468332.4,1457468332.4,
127,TQBR,2019-07-08,МосБиржа,MOEX,26377,1088401694.7,95.05,94.12,96.92,96.42,95.86,96.42,11354700,95.85,95.85,96.42,1088401694.7,1088401694.7,1088401694.7,
128,TQBR,2019-07-09,МосБиржа,MOEX,17968,663573106.8,96.47,94.94,97.23,95.32,96.08,95.32,6907800,96.06,96.06,95.32,663573106.8,663573106.8,663573106.8,
129,TQBR,2019-07-10,МосБиржа,MOEX,18069,990828179.6,95.32,93.86,95.67,95.0,94.66,95.0,10467120,94.66,94.66,95.0,990828179.6,990828179.6,990828179.6,
130,TQBR,2019-07-11,МосБиржа,MOEX,13068,573781535.7,94.7,94.04,95.4,94.9,94.65,94.9,6062060,94.65,94.65,94.9,573781535.7,573781535.7,573781535.7,
131,TQBR,2019-07-12,МосБиржа,MOEX,26087,645844238.6,94.7,92.77,94.7,93.97,93.84,93.97,6882970,93.83,93.83,93.97,645844238.6,645844238.6,645844238.6,
132,TQBR,2019-07-15,МосБиржа,MOEX,15900,651716541.7,94.3,93.5,95.18,95.18,94.56,95.18,6891820,94.56,94.56,95.18,651716541.7,651716541.7,651716541.7,
133,TQBR,2019-07-16,МосБиржа,MOEX,12389,549349617.0,95.01,93.35,95.64,93.45,93.86,93.45,5853130,93.86,93.86,93.45,549349617.0,549349617.0,549349617.0,
134,TQBR,2019-07-17,МосБиржа,MOEX,10748,459033444.4,93.69,92.67,94.1,92.73,93.23,92.73,4923400,93.24,93.24,92.73,459033444.4,459033444.4,459033444.4,
135,TQBR,2019-07-18,МосБиржа,MOEX,12235,440915431.0,92.7,91.85,93.22,92.99,92.46,92.99,4768520,92.46,92.46,92.99,440915431.0,440915431.0,440915431.0,
136,TQBR,2019-07-19,МосБиржа,MOEX,8723,338549254.9,93.5,92.51,93.7,93.06,93.21,93.06,3632520,93.2,93.2,93.06,338549254.9,338549254.9,338549254.9,
137,TQBR,2019-07-22,МосБиржа,MOEX,6857,305547094.8,93.05,91.96,93.11,92.22,92.54,92.22,3301960,92.54,92.54,92.22,305547094.8,305547094.8,305547094.8,
