,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
27,TQBR,2019-02-12,ГАЗПРОМ ао,GAZP,23355,2433747110.1,161.5,160.75,163.68,163.68,162.33,163.68,14992630,162.33,162.33,163.68,2433747110.1,2433747110.1,2433747110.1,
28,TQBR,2019-02-13,ГАЗПРОМ ао,GAZP,33901,3540683453.4,164.0,159.27,164.28,159.27,160.87,159.27,22006440,160.89,160.89,159.27,3540683453.4,3540683453.4,3540683453.4,
29,TQBR,2019-02-14,ГАЗПРОМ ао,GAZP,51672,6015747198.2,157.35,155.15,158.74,155.15,156.73,155.15,38381690,156.73,156.73,155.15,6015747198.2,6015747198.2,6015747198.2,
30,TQBR,2019-02-15,ГАЗПРОМ ао,GAZP,29716,3863237908.1,155.99,155.89,159.04,159.04,157.23,159.04,24570310,157.23,157.23,159.04,3863237908.1,3863237908.1,3863237908.1,
31,TQBR,2019-02-18,ГАЗПРОМ ао,GAZP,29668,2802173012.6,159.25,156.14,159.9,156.43,157.64,156.43,17780780,157.6,157.6,156.43,2802173012.6,2802173012.6,2802173012.6,
32,TQBR,2019-02-19,ГАЗПРОМ ао,GAZP,31089,3103932587.1,156.41,153.36,157.14,154.03,154.77,154.03,20054660,154.77,154.77,154.03,3103932587.1,3103932587.1,3103932587.1,
33,TQBR,2019-02-20,ГАЗПРОМ ао,GAZP,26216,3269030372.6,154.65,153.67,155.66,154.43,154.56,154.43,21149620,154.57,154.57,154.43,3269030372.6,3269030372.6,3269030372.6,
34,TQBR,2019-02-21,ГАЗПРОМ ао,GAZP,20827,2344274222.3,154.84,153.01,155.41,153.5,154.07,153.5,15215880,154.07,154.07,153.5,2344274222.3,2344274222.3,2344274222.3,
35,TQBR,2019-02-22,ГАЗПРОМ ао,GAZP,21842,2041203560.1,153.51,153.49,155.65,154.64,154.66,154.64,13198300,154.66,154.66,154.64,2041203560.1,2041203560.1,2041203560.1,
36,TQBR,2019-02-25,ГАЗПРОМ ао,GAZP,23642,2289762616.5,155.01,153.56,155.37,154.6,154.62,154.6,14809350,154.62,154.62,154.6,2289762616.5,2289762616.5,2289762616.5,
37,TQBR,2019-02-26,ГАЗПРОМ ао,GAZP,27643,2822990429.6,153.95,152.82,155.36,155.36,154.3,155.36,18295430,154.3,154.3,155.36,2822990429.6,2822990429.6,2822990429.6,
38,TQBR,2019-02-27,ГАЗПРОМ ао,GAZP,27287,3076346104.2,155.7,154.82,157.15,156.4,156.0,156.4,19720690,156.0,156.0,156.4,3076346104.2,3076346104.2,3076346104.2,
39,TQBR,2019-02-28,ГАЗПРОМ ао,GAZP,37848,5473136057.7,156.22,156.02,159.25,158.99,157.82,158.99,34679960,157.82,157.82,158.99,5473136057.7,5473136057.7,5473136057.7,
40,TQBR,2019-03-01,ГАЗПРОМ ао,GAZP,28242,3448994839.9,158.92,156.31,159.55,156.71,157.54,156.71,21894710,157.53,157.53,156.71,3448994839.9,3448994839.9,3448994839.9,
41,TQBR,2019-03-04,ГАЗПРОМ ао,GAZP,24181,2671510538.2,156.75,154.4,156.76,154.4,155.32,154.4,17198890,155.33,155.33,154.4,2671510538.2,2671510538.2,2671510538.2,
42,TQBR,2019-03-05,ГАЗПРОМ ао,GAZP,27951,3094689035.1,154.05,153.11,154.65,153.2,153.77,153.2,20125620,153.77,153.77,153.2,3094689035.1,3094689035.1,3094689035.1,
43,TQBR,2019-03-06,ГАЗПРОМ ао,GAZP,26465,2640014883.6,153.31,153.07,154.45,154.2,154.03,154.2,17139850,154.03,154.03,154.2,2640014883.6,2640014883.6,2640014883.6,
44,TQBR,2019-03-07,ГАЗПРОМ ао,GAZP,33071,3002874043.8,154.01,151.58,154.19,151.9,152.65,151.9,19671250,152.65,152.65,151.9,3002874043.8,3002874043.8,3002874043.8,
45,TQBR,2019-03-11,ГАЗПРОМ ао,GAZP,31127,2952613702.1,151.9,150.51,152.47,151.6,151.29,151.6,19515830,151.29,151.29,151.6,2952613702.1,2952613702.1,2952613702.1,
46,TQBR,2019-03-12,ГАЗПРОМ ао,GAZP,21950,2354542512.0,152.24,150.84,152.95,151.64,151.97,151.64,15491920,151.99,151.99,151.64,2354542512.0,2354542512.0,2354542512.0,
47,TQBR,2019-03-13,ГАЗПРОМ ао,GAZP,22920,2823152238.7,151.1,150.66,153.3,153.3,152.2,153.3,18551950,152.18,152.18,153.3,2823152238.7,2823152238.7,2823152238.7,
48,TQBR,2019-03-14,ГАЗПРОМ ао,GAZP,28351,3063730752.9,153.39,152.53,154.4,152.68,153.5,152.68,19960690,153.49,153.49,152.68,3063730752.9,3063730752.9,3063730752.9,
